run,run_name,orthogonalizer_type,orth_schedule_name,train/tokens,spec/label,spec/matrix_index,spec/sample_slot,spec/candidate_position,spec/candidate_count,spec/rows,spec/cols,spec/semi_orth_side,spec/buffer_post_semi_orth_error,spec/buffer_post_stable_rank,spec/buffer_post_sv_max,spec/buffer_post_sv_min,spec/buffer_post_sv_std,spec/buffer_post_svd_entropy,spec/g_post_semi_orth_error,spec/g_post_stable_rank,spec/g_post_sv_max,spec/g_post_sv_min,spec/g_post_sv_std,spec/g_post_svd_entropy,spec/g_pre_semi_orth_error,spec/g_pre_stable_rank,spec/g_pre_sv_max,spec/g_pre_sv_min,spec/g_pre_sv_std,spec/g_pre_svd_entropy
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,30015488,blocks.6.mlp.fc2,0,7,41,66,768,3072,rows,0.9867764669501364,5.06540584564209,2.070240020751953,0.000921801954973489,0.13825903832912445,6.07338809967041,0.7620376896290455,277.3025817871094,0.859903872013092,0.014314703643321991,0.21768859028816223,6.526586055755615,0.9886831402035964,4.731718063354492,2.1736502647399902,0.0009235228644683957,0.1409572809934616,6.068310737609863
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,30015488,blocks.7.mlp.fc2,0,8,47,66,768,3072,rows,0.9924494788834899,4.257071495056152,2.301229238510132,0.0007339158328250051,0.14312797784805298,6.055270671844482,0.7659164892011223,271.8641052246094,0.8608805537223816,0.012702655978500843,0.2169136106967926,6.525160789489746,0.9953643082867055,4.006529331207275,2.4088733196258545,0.0007365745841525495,0.14600804448127747,6.049952507019043
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,30015488,blocks.8.mlp.fc2,0,9,53,66,768,3072,rows,1.0042504394070704,3.4453141689300537,2.649250030517578,0.0008123413426801562,0.15072129666805267,6.036623954772949,0.7755368509199029,265.41961669921875,0.8521727323532104,0.01272403821349144,0.21554653346538544,6.520705699920654,1.0095003808971859,3.2607038021087646,2.7698605060577393,0.0008156657568179071,0.15401344001293182,6.030766010284424
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,30015488,blocks.9.mlp.fc2,0,10,59,66,768,3072,rows,1.0199766567256308,3.0650203227996826,2.969688653945923,0.0008229567902162671,0.16222934424877167,6.002934455871582,0.7845536128685198,260.3918762207031,0.8422592878341675,0.011856180615723133,0.2144513875246048,6.516165733337402,1.0279268296619073,2.9178295135498047,3.096991539001465,0.0008262283517979085,0.16575922071933746,5.996856212615967
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,30015488,blocks.10.mlp.fc2,0,11,65,66,768,3072,rows,1.0641625687946499,2.671933174133301,3.537382125854492,0.0009501128806732595,0.1846950501203537,5.94421911239624,0.8025068862147833,243.77745056152344,0.832111656665802,0.012090451084077358,0.21207648515701294,6.505759239196777,1.0801716589815538,2.550477981567383,3.6894724369049072,0.0009530805400572717,0.18891817331314087,5.937469959259033
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.0.attn.q_proj,0,0,0,66,768,768,cols,7.094617269896484,3.7316837310791016,13.464061737060547,0.00041732186218723655,0.8148552179336548,5.944116592407227,0.4962765306420925,511.4541015625,1.0053086280822754,0.0015095757553353906,0.3057023286819458,6.537339687347412,7.244449866344389,3.7082228660583496,13.613097190856934,0.00036861837725155056,0.8220953941345215,5.9411420822143555
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.1.attn.q_proj,0,1,6,66,768,768,cols,4.110343747536286,3.081789493560791,10.091524124145508,1.72335967363324e-05,0.6068301200866699,5.202022552490234,0.7864699905196528,242.08848571777344,1.0046547651290894,9.966368088498712e-05,0.36915650963783264,6.241818904876709,4.227726765279779,3.045776844024658,10.252982139587402,2.0689360553660663e-06,0.6132173538208008,5.197566032409668
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.2.attn.q_proj,0,2,12,66,768,768,cols,3.157795310608807,2.8686726093292236,8.976941108703613,2.619703627715353e-05,0.5111245512962341,5.436339855194092,0.716917677664854,315.969482421875,1.0044018030166626,0.0003819736884906888,0.3753015398979187,6.344651699066162,3.1703223803199845,2.879977226257324,8.99267578125,1.5917537893983535e-05,0.5130216479301453,5.435534954071045
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.3.attn.q_proj,0,3,18,66,768,768,cols,8.203164518848663,2.9522042274475098,14.69112777709961,3.1567451515002176e-05,0.8534828424453735,5.29495906829834,0.7609950518960684,276.209716796875,1.0059641599655151,5.39387074240949e-05,0.390907883644104,6.237328052520752,8.271759881737173,2.9524178504943848,14.752094268798828,9.099560884351376e-06,0.8571186661720276,5.294088363647461
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.4.attn.q_proj,0,4,24,66,768,768,cols,4.884983457862792,3.1912548542022705,11.226883888244629,2.128465894202236e-05,0.6720810532569885,5.4042253494262695,0.7301408486389092,306.3634033203125,1.0057919025421143,0.00011898988304892555,0.38536536693573,6.307156562805176,4.888655987365179,3.2137675285339355,11.221755981445312,2.719995245570317e-05,0.6741289496421814,5.403641223907471
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.5.attn.q_proj,0,5,30,66,768,768,cols,2.41238634728192,2.9153101444244385,7.767175674438477,4.5904289436293766e-05,0.4346697926521301,5.665355682373047,0.6659891363274628,364.5557861328125,1.0052849054336548,0.0005666589713655412,0.36562493443489075,6.410027980804443,2.4812798623031944,2.878579616546631,7.8929829597473145,4.994645496481098e-05,0.4394255578517914,5.66181755065918
