run_name,orth_schedule_name,orthogonalizer_type,seed,lr_mul,train/tokens,spec/label,spec/buffer_post_semi_orth_error,spec/buffer_post_stable_rank,spec/buffer_post_sv_max,spec/buffer_post_sv_min,spec/buffer_post_sv_std,spec/buffer_post_svd_entropy,spec/candidate_count,spec/candidate_position,spec/cols,spec/g_post_semi_orth_error,spec/g_post_stable_rank,spec/g_post_sv_max,spec/g_post_sv_min,spec/g_post_sv_std,spec/g_post_svd_entropy,spec/g_pre_semi_orth_error,spec/g_pre_stable_rank,spec/g_pre_sv_max,spec/g_pre_sv_min,spec/g_pre_sv_std,spec/g_pre_svd_entropy,spec/matrix_index,spec/rows,spec/sample_slot,spec/semi_orth_side
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.4.attn.q_proj,1.1329628940680567,3.76591420173645,4.0033650398254395,2.4581888737884583e-06,0.26636695861816406,5.037559986114502,66,24,768,0.9365811926539451,74.44105529785156,1.0022462606430054,1.8202257706434466e-05,0.2690615653991699,5.644871711730957,1.1504647408587325,3.647152900695801,4.117191314697266,7.205707106550108e-07,0.26977843046188354,5.0323028564453125,0,768,4,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.5.attn.q_proj,1.1240792406662468,5.0647759437561035,3.748394727706909,2.895654461099184e-06,0.28838610649108887,5.050312519073486,66,30,768,0.9364758896153648,74.4445571899414,1.0024001598358154,1.1053678463213146e-05,0.26934826374053955,5.633022785186768,1.1426699759362564,4.843376636505127,3.880939245223999,1.3665319329447811e-06,0.292202353477478,5.044876575469971,0,768,5,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.5.mlp.fc2,0.9897114622293678,4.909646987915039,2.189826726913452,0.0009465300827287138,0.1508232206106186,5.929327964782715,66,35,3072,0.9498219141344303,87.48394012451172,0.6953197121620178,0.0028703815769404173,0.16285116970539093,6.243018627166748,0.9926072269648143,4.554865837097168,2.3137123584747314,0.0009534035925753415,0.15413029491901398,5.92206335067749,0,768,6,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.6.mlp.fc2,0.9903419039505421,4.622172832489014,2.1742074489593506,0.0008121505961753428,0.14481543004512787,5.948836326599121,66,41,3072,0.946648920222904,95.38814544677734,0.6863377094268799,0.002645030152052641,0.164883553981781,6.263596534729004,0.9929268526583879,4.308320999145508,2.2896571159362793,0.0008131866925396025,0.14783799648284912,5.942225456237793,0,768,7,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.7.mlp.fc2,0.9925920165259082,4.338443279266357,2.2614498138427734,0.0008211125968955457,0.14635032415390015,5.9482879638671875,66,47,3072,0.9458452446794376,93.0673599243164,0.6999022364616394,0.002606821246445179,0.16526103019714355,6.268702030181885,0.9953740126843786,4.073665142059326,2.3704090118408203,0.0008219822775572538,0.14920444786548615,5.942193984985352,0,768,8,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.8.mlp.fc2,0.9971554234997886,4.107198238372803,2.4439477920532227,0.0009167912066914141,0.15540958940982819,5.922044277191162,66,53,3072,0.9463431972834437,92.45563507080078,0.6993995904922485,0.00285219750367105,0.16555756330490112,6.262300491333008,1.0008904465701696,3.8693971633911133,2.5555784702301025,0.0009170639095827937,0.15825742483139038,5.91632080078125,0,768,9,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.9.mlp.fc2,1.00850303035335,3.747028350830078,2.738215446472168,0.0009515662677586079,0.16845117509365082,5.8881306648254395,66,59,3072,0.9516482680114045,86.72075653076172,0.6847018599510193,0.002601863816380501,0.1597648411989212,6.244001865386963,1.01419634581375,3.552342176437378,2.854663848876953,0.0009549323003739119,0.1715053766965866,5.882340431213379,0,768,10,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,30015488,blocks.10.mlp.fc2,1.0515580703786338,3.175220251083374,3.381953477859497,0.001017834641970694,0.19572646915912628,5.810234069824219,66,65,3072,0.9571973940170162,76.40530395507812,0.6865952014923096,0.0025250825565308332,0.15477724373340607,6.2092390060424805,1.0637220166704975,3.034269332885742,3.512882709503174,0.001023454824462533,0.19924192130565643,5.804154872894287,0,768,11,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.0.attn.q_proj,28.91636525971664,5.75897741317749,22.657419204711914,0.00016772742674220353,1.8294185400009155,5.518155097961426,66,0,768,0.9217887999284954,82.50518035888672,1.0018211603164673,0.00011510110925883055,0.24746030569076538,6.122193336486816,29.99945863065295,5.595753192901611,23.265363693237305,0.00015218484622891992,1.853257179260254,5.512369632720947,0,768,0,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.1.attn.q_proj,7.250306091799769,2.2698917388916016,13.751378059387207,7.373982953140512e-06,0.7290880680084229,4.552229881286621,66,6,768,0.9562631564708131,51.75397491455078,1.0018657445907593,1.6483723811688833e-05,0.23428085446357727,5.397655487060547,7.30814320072319,2.2798874378204346,13.79931926727295,8.534687367500737e-06,0.7332639098167419,4.549924850463867,0,768,1,cols
