schedule,sigma,mapped_sigma,delta,gain
manual_T8_f5_s3,0.01,1.000000070985692,0.990000070985692,100.0000070985692
manual_T8_f5_s3,0.03,1.0000000066522272,0.9700000066522272,33.33333355507424
manual_T8_f5_s3,0.1,1.0000000379966096,0.9000000379966097,10.000000379966096
manual_T8_f5_s3,0.3,1.0000000000860672,0.7000000000860671,3.333333333620224
manual_T8_f5_s3,0.6,1.0000000216812932,0.4000000216812932,1.6666667028021553
manual_T8_f5_s3,1.0,1.0000000792565564,7.925655642893048e-08,1.0000000792565564
manual_T9_f4_s5,1e-05,0.045023014648136656,0.04501301464813665,4502.301464813665
manual_T9_f4_s5,3e-05,0.1345232831073951,0.13449328310739508,4484.10943691317
manual_T9_f4_s5,0.0001,0.4285880881714376,0.42848808817143763,4285.880881714376
manual_T9_f4_s5,0.0003,0.9188724363951055,0.9185724363951056,3062.908121317019
manual_T9_f4_s5,0.001,1.0000002382722926,0.9990002382722926,1000.0002382722926
manual_T9_f4_s5,0.003,1.0000000000000004,0.9970000000000004,333.3333333333335
manual_T9_f4_s5,0.01,1.0,0.99,100.0
manual_T9_f4_s5,0.03,0.9999999999999999,0.9699999999999999,33.33333333333333
manual_T9_f4_s5,0.1,1.0,0.9,10.0
manual_T9_f4_s5,0.3,1.0,0.7,3.3333333333333335
manual_T9_f4_s5,0.6,1.0,0.4,1.6666666666666667
manual_T9_f4_s5,1.0,1.0,0.0,1.0
manual_T10_f5_s5,1e-05,0.15423183975474833,0.15422183975474832,15423.18397547483
manual_T10_f5_s5,3e-05,0.4414189335693031,0.44138893356930314,14713.964452310103
manual_T10_f5_s5,0.0001,0.9578032120628875,0.9577032120628876,9578.032120628875
manual_T10_f5_s5,0.0003,1.0000008310889652,0.9997008310889652,3333.3361036298843
manual_T10_f5_s5,0.001,1.0,0.999,1000.0
manual_T10_f5_s5,0.003,1.0,0.997,333.3333333333333
manual_T10_f5_s5,0.01,1.0,0.99,100.0
manual_T10_f5_s5,0.03,0.9999999999999999,0.9699999999999999,33.33333333333333
manual_T10_f5_s5,0.1,0.9999999999999999,0.8999999999999999,9.999999999999998
manual_T10_f5_s5,0.3,1.0,0.7,3.3333333333333335
manual_T10_f5_s5,0.6,1.0,0.4,1.6666666666666667
manual_T10_f5_s5,1.0,1.0,0.0,1.0
pe_T5_l3e-3,1e-05,0.005368793686803847,0.005358793686803847,536.8793686803846
pe_T5_l3e-3,3e-05,0.016105585326630832,0.016075585326630833,536.8528442210277
pe_T5_l3e-3,0.0001,0.05365512589756373,0.05355512589756373,536.5512589756373
pe_T5_l3e-3,0.0003,0.1601730772465951,0.1598730772465951,533.9102574886504
pe_T5_l3e-3,0.001,0.5051341120470838,0.5041341120470838,505.1341120470838
pe_T5_l3e-3,0.003,0.9915718286297106,0.9885718286297106,330.5239428765702
pe_T5_l3e-3,0.01,0.9920912421463828,0.9820912421463828,99.20912421463828
pe_T5_l3e-3,0.03,1.0079895680549795,0.9779895680549795,33.59965226849932
pe_T5_l3e-3,0.1,1.005981773101439,0.9059817731014391,10.059817731014391
pe_T5_l3e-3,0.3,1.003697687625615,0.7036976876256149,3.34565895875205
pe_T5_l3e-3,0.6,0.9958992597287626,0.3958992597287626,1.6598320995479376
pe_T5_l3e-3,1.0,0.9983901978517536,-0.0016098021482463531,0.9983901978517536
pe_T5_l1e-3,1e-05,0.009894543206141209,0.009884543206141209,989.4543206141208
pe_T5_l1e-3,3e-05,0.029680251817900256,0.029650251817900257,989.3417272633418
pe_T5_l1e-3,0.0001,0.0988061931610802,0.0987061931610802,988.061931610802
pe_T5_l1e-3,0.0003,0.2930658462373421,0.2927658462373421,976.8861541244738
pe_T5_l1e-3,0.001,0.8588726435266892,0.8578726435266892,858.8726435266892
pe_T5_l1e-3,0.003,0.9663828933948087,0.9633828933948086,322.12763113160287
pe_T5_l1e-3,0.01,1.027110178426721,1.017110178426721,102.71101784267209
pe_T5_l1e-3,0.03,1.0605118024447084,1.0305118024447084,35.350393414823614
pe_T5_l1e-3,0.1,1.059161137958514,0.959161137958514,10.591611379585139
pe_T5_l1e-3,0.3,0.9831419530400844,0.6831419530400844,3.2771398434669483
pe_T5_l1e-3,0.6,0.8712863032667351,0.2712863032667351,1.4521438387778918
pe_T5_l1e-3,1.0,0.8591289631132322,-0.14087103688676783,0.8591289631132322
pe_T5_l3e-4,1e-05,0.01661259421517499,0.01660259421517499,1661.2594215174988
pe_T5_l3e-4,3e-05,0.04982922552790782,0.04979922552790782,1660.974184263594
pe_T5_l3e-4,0.0001,0.165773253969308,0.16567325396930802,1657.73253969308
pe_T5_l3e-4,0.0003,0.48883960073058264,0.4885396007305826,1629.4653357686088
pe_T5_l3e-4,0.001,1.3357423062058984,1.3347423062058985,1335.7423062058983
pe_T5_l3e-4,0.003,0.6267054932550598,0.6237054932550598,208.90183108501992
pe_T5_l3e-4,0.01,1.2982478858732147,1.2882478858732147,129.82478858732148
pe_T5_l3e-4,0.03,1.1695006465388085,1.1395006465388084,38.98335488462695
pe_T5_l3e-4,0.1,1.0232939716655391,0.9232939716655392,10.232939716655391
pe_T5_l3e-4,0.3,0.9654464326795205,0.6654464326795204,3.2181547755984017
pe_T5_l3e-4,0.6,0.4991448642095619,-0.10085513579043809,0.8319081070159365
pe_T5_l3e-4,1.0,0.5202608924956706,-0.47973910750432935,0.5202608924956706
pe_T5_l3e-5,1e-05,0.022694465675588603,0.022684465675588603,2269.44656755886
pe_T5_l3e-5,3e-05,0.0680702913879032,0.0680402913879032,2269.0097129301066
pe_T5_l3e-5,0.0001,0.22640451229260658,0.2263045122926066,2264.0451229260657
pe_T5_l3e-5,0.0003,0.6662295693153437,0.6659295693153438,2220.7652310511457
pe_T5_l3e-5,0.001,1.7724086401849974,1.7714086401849976,1772.4086401849975
pe_T5_l3e-5,0.003,0.3506769191406982,0.3476769191406982,116.89230638023274
pe_T5_l3e-5,0.01,1.4828478394706242,1.4728478394706241,148.2847839470624
pe_T5_l3e-5,0.03,1.5627775955331815,1.5327775955331815,52.092586517772716
pe_T5_l3e-5,0.1,1.3512058666743152,1.251205866674315,13.512058666743151
pe_T5_l3e-5,0.3,0.8788503271213535,0.5788503271213534,2.9295010904045116
pe_T5_l3e-5,0.6,0.6615188492854555,0.06151884928545548,1.102531415475759
pe_T5_l3e-5,1.0,0.19838794561927564,-0.8016120543807244,0.19838794561927564
pe_T9_l3e-5,1e-05,0.7130922617329435,0.7130822617329435,71309.22617329434
pe_T9_l3e-5,3e-05,0.9999691969792714,0.9999391969792715,33332.30656597571
pe_T9_l3e-5,0.0001,0.9999983528491216,0.9998983528491217,9999.983528491215
pe_T9_l3e-5,0.0003,0.9999757964065499,0.9996757964065499,3333.2526546884997
pe_T9_l3e-5,0.001,0.99997869991273,0.99897869991273,999.97869991273
pe_T9_l3e-5,0.003,0.9999730646407973,0.9969730646407973,333.32435488026573
pe_T9_l3e-5,0.01,0.999971766049837,0.9899717660498369,99.9971766049837
pe_T9_l3e-5,0.03,0.9999692232863253,0.9699692232863253,33.332307442877514
pe_T9_l3e-5,0.1,1.0000016129647769,0.9000016129647769,10.000016129647769
pe_T9_l3e-5,0.3,1.0000009845489837,0.7000009845489836,3.333336615163279
pe_T9_l3e-5,0.6,0.9999720633615983,0.3999720633615983,1.666620105602664
pe_T9_l3e-5,1.0,1.0000146414787434,1.4641478743415703e-05,1.0000146414787434
pe_T10_l3e-5,1e-05,0.9479825740851808,0.9479725740851809,94798.25740851808
pe_T10_l3e-5,3e-05,0.9999999999863217,0.9999699999863217,33333.33333287739
pe_T10_l3e-5,0.0001,0.9999999999955632,0.9998999999955632,9999.999999955631
pe_T10_l3e-5,0.0003,0.9999999999969758,0.9996999999969758,3333.3333333232526
pe_T10_l3e-5,0.001,0.999999999996563,0.998999999996563,999.9999999965629
pe_T10_l3e-5,0.003,0.9999999999975024,0.9969999999975024,333.3333333325008
pe_T10_l3e-5,0.01,1.0000000000008549,0.9900000000008549,100.00000000008548
pe_T10_l3e-5,0.03,0.999999999999521,0.969999999999521,33.33333333331737
pe_T10_l3e-5,0.1,0.9999999999956228,0.8999999999956229,9.999999999956227
pe_T10_l3e-5,0.3,0.999999999995606,0.6999999999956059,3.3333333333186865
pe_T10_l3e-5,0.6,0.9999999999977526,0.3999999999977526,1.666666666662921
pe_T10_l3e-5,1.0,0.9999999999966438,-3.3562042034418482e-12,0.9999999999966438
